ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11343710,JB301580,06/10/2018 11:10:00 PM,020XX N CENTRAL PARK AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2525,025,26,22,18,1152049,1913301,2018,06/17/2018 03:50:56 PM,41.917969183,-87.716792762,"(41.917969183, -87.716792762)",10,22535,23,73,49,1,6,187
11344863,JB302991,06/10/2018 11:09:00 PM,0000X W HUBBARD ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1831,018,42,8,06,1176096,1903313,2018,06/17/2018 03:50:56 PM,41.890053273,-87.628744799,"(41.890053273, -87.628744799)",22,4446,37,669,36,55,14,73
11343666,JB301579,06/10/2018 11:07:00 PM,006XX S CICERO AVE,2026,NARCOTICS,POSS: PCP,VEHICLE NON-COMMERCIAL,true,false,1131,011,24,25,18,1144488,1896820,2018,06/17/2018 03:50:56 PM,41.872889251,-87.744987777,"(41.872889251, -87.744987777)",36,22216,26,61,14,32,16,143
11343727,JB301561,06/10/2018 11:05:00 PM,033XX W 63RD ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,0823,008,15,66,08A,1155142,1862649,2018,06/17/2018 03:50:56 PM,41.778912627,-87.706786626,"(41.778912627, -87.706786626)",44,21867,64,293,6,58,13,276
11343744,JB301576,06/10/2018 11:05:00 PM,024XX N AUSTIN AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,2515,025,29,19,08A,1135989,1915635,2018,06/17/2018 03:50:56 PM,41.924675615,-87.775743106,"(41.924675615, -87.775743106)",52,22615,19,78,21,2,6,133
11343946,JB301856,06/10/2018 11:00:00 PM,006XX N LOTUS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1524,015,37,25,07,1139803,1903763,2018,06/17/2018 03:50:56 PM,41.892028564,-87.762019146,"(41.892028564, -87.762019146)",4,22216,26,673,45,32,25,67
11345908,JB304025,06/10/2018 11:00:00 PM,053XX S CALUMET AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0231,002,3,40,02,1179389,1869713,2018,06/17/2018 03:50:56 PM,41.797777738,-87.617679793,"(41.797777738, -87.617679793)",12,21192,7,401,9,10,24,125
11343924,JB301833,06/10/2018 11:00:00 PM,005XX W OAKDALE AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1934,019,44,6,06,1172156,1919860,2018,06/17/2018 03:50:56 PM,41.935546943,-87.642724821,"(41.935546943, -87.642724821)",38,4449,57,102,25,22,5,30
11345305,JB303574,06/10/2018 11:00:00 PM,055XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1524,015,37,25,07,1139266,1904090,2018,06/17/2018 03:50:56 PM,41.892935687,-87.763983374,"(41.892935687, -87.763983374)",4,22216,26,673,45,32,25,67
11344453,JB302504,06/10/2018 11:00:00 PM,048XX S SEELEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,0931,009,20,61,08B,1163510,1872494,2018,06/17/2018 03:50:56 PM,41.805757152,-87.675832628,"(41.805757152, -87.675832628)",29,14924,59,788,3,37,23,119
